/a/ /ā/	karaka	taraka	waka	 /e/ /ē/	keke	pere	wheke	 /i/ /ī/	ihu	inu	ipu	 /o/  /ō/	koro	koti	roro	/u/ /ū/	kutu	manu	motu
/a/ /ā/	māmā	māra	pāpā	 /e/ /ē/	hēki	hēti	 /i/ /ī/	kīngi	rīngi	rīhi	tīhi	 /o/  /ō/	kōrero	kōtiro	tōtiti	/u/ /ū/	hū	motu	pū
/a/ /ā/	māmā	māra	pāpā	 /ai/	wai	kai	pai	 /i/ /ī/	kīngi	rīngi	tīhi	 /o/  /ō/	tōtiti	kōrero	kōtiro	 /au/	kau	rau	tau
/a/ /ā/	karaka	taraka	waka	 /ai/	kai	pai	wai	 /i/ /ī/	ihu	inu	ipu	 /o/  /ō/	roro	koro	koti	 /au/	kau	rau	tau
/a/ /ā/	haka	mata	waka	 /ae/	waea	whaea	taea	 /i/ /ī/	ihu	inu	ipu	 /o/  /ō/	koro	roro	koti	 /au/	kau	rau	tau
/a/ /ā/	mata	pata	 /ai/	tai	pai	wai	wai	 /i/ /ī/	pahi	tahi	paki	 /o/  /ō/	koro	mako	moko	 /au/	kau	rau	tau
/a/ /ā/	mahi	paki	tahi	 /ai/	kai	pai	tai	 /i/ /ī/	rīhi	rīngi	kīngi	 /o/  /ō/	koro	poti	koti	 /au/	kau	rau	tau
/a/ /ā/	paki	pahi	tahi	 /ai/	kai	pai	tai	 /i/ /ī/	rīngi	rīhi	tīhi	 /o/  /ō/	koti	poti	koro	 /au/	kau	rau	tau
/a/ /ā/	māra	māmā	tāra	 /ai/	pai	tai	wai	 /i/ /ī/	pahi	tahi	paki	 /o/  /ō/	koro	moko	mako	 /au/	kau	rau	tau
/a/ /ā/	haka	mata	pata	 /ai/	tai	kai	wai	 /i/ /ī/	pahi	paki	tahi	 /o/  /ō/	kōrero	kōtiro	tōtiti	 /au/	kau	rau	tau
/a/ /ā/	haka	mata	waka	 /ai/	pai	kai	tai	 /i/ /ī/	ihu	inu	ipu	 /o/  /ō/	kōrero	tōtiti	kōtiro	 /au/	kau	rau	tau
